workerid	rt	name	item	gender	sentence	item_type	response	slide_number_in_experiment	language	enjoyment	gender	age	comments	asses	education	OS	screenH	screenW	Browser	hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.catch_trials	Answer.condition	Answer.time_in_minutes	evidence	evidence_type	evidence_subtype	evidence_type_greg	evidence_subtype_greg
0	48885	Matthew	rain	M	It might be raining.	might	0.45	3	english	1	Male	22	great experiment 	Yes	1	Windows	1080	1920	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3BEFOD78W6SVSPNHYQI83ATIGVNM49	0	Submitted	Thu Nov 27 08:28:04 PST 2014	Mon Nov 24 08:25:25 PST 2014	Mon Nov 24 08:28:04 PST 2014						[]	{}	2.55065	'He has been outside and probably sees clouds'	perceptual	seeing	perceptual_uncertain	
0	21360	Jonathan	coffee	M	The coffee is cold.	bare	0.87	4	english	1	Male	22	great experiment 	Yes	1	Windows	1080	1920	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3BEFOD78W6SVSPNHYQI83ATIGVNM49	0	Submitted	Thu Nov 27 08:28:04 PST 2014	Mon Nov 24 08:25:25 PST 2014	Mon Nov 24 08:28:04 PST 2014						[]	{}	2.55065	'He has tested the coffee'	perceptual	tasting	perceptual	
0	10648	Jason	dog	M	The neighbor's dog must be barking.	must	0.85	5	english	1	Male	22	great experiment 	Yes	1	Windows	1080	1920	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3BEFOD78W6SVSPNHYQI83ATIGVNM49	0	Submitted	Thu Nov 27 08:28:04 PST 2014	Mon Nov 24 08:25:25 PST 2014	Mon Nov 24 08:28:04 PST 2014						[]	{}	2.55065	'he can hear it'	perceptual	hearing	perceptual	
0	15335	Carolyn	train	F	I think the train is late.	think	0.74	6	english	1	Male	22	great experiment 	Yes	1	Windows	1080	1920	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3BEFOD78W6SVSPNHYQI83ATIGVNM49	0	Submitted	Thu Nov 27 08:28:04 PST 2014	Mon Nov 24 08:25:25 PST 2014	Mon Nov 24 08:28:04 PST 2014						[]	{}	2.55065	'She can tell time'	inferential		inferential	
0	13570	Brandon	sun	M	I know it's sunny out.	know	0.89	7	english	1	Male	22	great experiment 	Yes	1	Windows	1080	1920	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3BEFOD78W6SVSPNHYQI83ATIGVNM49	0	Submitted	Thu Nov 27 08:28:04 PST 2014	Mon Nov 24 08:25:25 PST 2014	Mon Nov 24 08:28:04 PST 2014						[]	{}	2.55065	'He can see with his eyes'	perceptual	seeing	perceptual	
0	12946	Michael	dinner	M	Dinner is probably ready.	probably	0.51	8	english	1	Male	22	great experiment 	Yes	1	Windows	1080	1920	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3BEFOD78W6SVSPNHYQI83ATIGVNM49	0	Submitted	Thu Nov 27 08:28:04 PST 2014	Mon Nov 24 08:25:25 PST 2014	Mon Nov 24 08:28:04 PST 2014						[]	{}	2.55065	'He can smell it'	perceptual	smelling	perceptual	
1	22455	Susan	train	F	The train is late.	bare	0.74	3	Spanish	2	Male	43	n/a	Yes	4	Windows	1050	1680	Firefox	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	37XITHEISW8PK9DOWDK787ZGEV4CR1	1	Submitted	Thu Nov 27 08:28:07 PST 2014	Mon Nov 24 08:25:15 PST 2014	Mon Nov 24 08:28:07 PST 2014						[]	{}	2.82935	'She knows the schedule'	inferential		inferential	
1	16319	Joyce	dinner	F	I know dinner is ready.	know	0.83	4	Spanish	2	Male	43	n/a	Yes	4	Windows	1050	1680	Firefox	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	37XITHEISW8PK9DOWDK787ZGEV4CR1	1	Submitted	Thu Nov 27 08:28:07 PST 2014	Mon Nov 24 08:25:15 PST 2014	Mon Nov 24 08:28:07 PST 2014						[]	{}	2.82935	'Dinner is ready at the same time every day\n'	inferential		inferential	
1	15103	Jessica	rain	F	It must be raining.	must	0.1	5	Spanish	2	Male	43	n/a	Yes	4	Windows	1050	1680	Firefox	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	37XITHEISW8PK9DOWDK787ZGEV4CR1	1	Submitted	Thu Nov 27 08:28:07 PST 2014	Mon Nov 24 08:25:15 PST 2014	Mon Nov 24 08:28:07 PST 2014						[]	{}	2.82935	'She cannot see outside so she cannot be certain.'	neg_perceptual		neg_perceptual	
1	16305	Michelle	coffee	F	The coffee is probably cold.	probably	0.9	6	Spanish	2	Male	43	n/a	Yes	4	Windows	1050	1680	Firefox	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	37XITHEISW8PK9DOWDK787ZGEV4CR1	1	Submitted	Thu Nov 27 08:28:07 PST 2014	Mon Nov 24 08:25:15 PST 2014	Mon Nov 24 08:28:07 PST 2014						[]	{}	2.82935	'She tried the coffee before coming in.'	perceptual	tasting	perceptual	
